batch_size,dropout,lr,momentum
CIN,50,0.4,0.1,0.6
CIN,50,0.4,0.1,0.7
CIN,50,0.4,0.1,0.8
CIN,50,0.4,0.1,0.9
CIN,50,0.5,0.01,0.4
CIN,50,0.5,0.01,0.5
CIN,50,0.5,0.01,0.6
CIN,50,0.5,0.01,0.7
CIN,50,0.5,0.01,0.8
CIN,50,0.5,0.01,0.9
CIN,50,0.5,0.001,0.4
CIN,50,0.5,0.001,0.5
CIN,50,0.5,0.001,0.6
CIN,50,0.5,0.001,0.7
CIN,50,0.5,0.001,0.8
CIN,50,0.5,0.001,0.9
CIN,50,0.5,0.0001,0.4
CIN,50,0.5,0.0001,0.5
CIN,50,0.5,0.0001,0.6
CIN,50,0.5,0.0001,0.7
CIN,50,0.5,0.0001,0.8
CIN,50,0.5,0.0001,0.9
CIN,50,0.5,1e-05,0.4
CIN,50,0.5,1e-05,0.5
CIN,50,0.5,1e-05,0.6
CIN,50,0.5,1e-05,0.7
CIN,50,0.5,1e-05,0.8
CIN,50,0.5,1e-05,0.9
CIN,50,0.5,0.1,0.4
CIN,50,0.5,0.1,0.5
CIN,50,0.5,0.1,0.6
CIN,50,0.5,0.1,0.7
CIN,50,0.5,0.1,0.8
CIN,50,0.5,0.1,0.9
CIN,60,0.2,0.01,0.4
CIN,60,0.2,0.01,0.5
CIN,60,0.2,0.01,0.6
CIN,60,0.2,0.01,0.7
CIN,60,0.2,0.01,0.8
CIN,60,0.2,0.01,0.9
CIN,60,0.2,0.001,0.4
CIN,60,0.2,0.001,0.5
CIN,60,0.2,0.001,0.6
CIN,60,0.2,0.001,0.7
CIN,60,0.2,0.001,0.8
CIN,60,0.2,0.001,0.9
CIN,60,0.2,0.0001,0.4
CIN,60,0.2,0.0001,0.5
CIN,60,0.2,0.0001,0.6
CIN,60,0.2,0.0001,0.7
CIN,60,0.2,0.0001,0.8
CIN,60,0.2,0.0001,0.9
CIN,60,0.2,1e-05,0.4
CIN,60,0.2,1e-05,0.5
CIN,60,0.2,1e-05,0.6
CIN,60,0.2,1e-05,0.7
CIN,60,0.2,1e-05,0.8
CIN,60,0.2,1e-05,0.9
CIN,60,0.2,0.1,0.4
CIN,60,0.2,0.1,0.5
CIN,60,0.2,0.1,0.6
CIN,60,0.2,0.1,0.7
CIN,60,0.2,0.1,0.8
CIN,60,0.2,0.1,0.9
CIN,60,0.3,0.01,0.4
CIN,60,0.3,0.01,0.5
CIN,60,0.3,0.01,0.6
CIN,60,0.3,0.01,0.7
CIN,60,0.3,0.01,0.8
CIN,60,0.3,0.01,0.9
CIN,60,0.3,0.001,0.4
CIN,60,0.3,0.001,0.5
